protein_family,best_model,best_metric,best_score
GPCR,xgb,cohen_kappa,1.0
Enzyme,svc,cohen_kappa,1.0
Other,rf,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,0.9453
Epigenetic,rf,cohen_kappa,0.9561
Kinase,rf,cohen_kappa,1.0
Epigenetic,rf,cohen_kappa,0.8861
Kinase,rf,cohen_kappa,0.9829
Other,svc,cohen_kappa,0.9353
Kinase,svc,cohen_kappa,0.8831
IC,rf,cohen_kappa,0.8808
GPCR,rf,cohen_kappa,0.9785
Transporter,svc,cohen_kappa,0.9715
Kinase,xgb,cohen_kappa,0.9873
Other,rf,cohen_kappa,0.8913
GPCR,xgb,cohen_kappa,1.0
Kinase,svc,cohen_kappa,0.9347
Kinase,svc,cohen_kappa,0.7767
Kinase,rf,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,1.0
Enzyme,svc,cohen_kappa,0.9217
Enzyme,xgb,cohen_kappa,0.9731
Other,rf,cohen_kappa,0.894
Kinase,svc,cohen_kappa,0.9429
GPCR,mlp,cohen_kappa,0.9529
NR,svc,cohen_kappa,1.0
Enzyme,svc,cohen_kappa,0.9245
Enzyme,xgb,cohen_kappa,0.6047
Kinase,rf,cohen_kappa,1.0
Kinase,rf,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,0.9899
Enzyme,mlp,cohen_kappa,0.9628
Enzyme,svc,cohen_kappa,0.9813
Kinase,svc,cohen_kappa,0.9259999999999999
IC,mlp,cohen_kappa,0.9899
Enzyme,xgb,cohen_kappa,1.0
GPCR,mlp,cohen_kappa,0.9397
Enzyme,rf,cohen_kappa,1.0
GPCR,xgb,cohen_kappa,0.9797
Enzyme,xgb,cohen_kappa,0.9525
Enzyme,rf,cohen_kappa,1.0
Kinase,mlp,cohen_kappa,0.9922
Enzyme,svc,cohen_kappa,0.982
Enzyme,xgb,cohen_kappa,1.0
Enzyme,mlp,cohen_kappa,0.9186
Enzyme,xgb,cohen_kappa,0.9453
Enzyme,rf,cohen_kappa,0.9544
GPCR,rf,cohen_kappa,0.9866
GPCR,rf,cohen_kappa,0.993
IC,rf,cohen_kappa,0.8145
Enzyme,rf,cohen_kappa,0.9788
Enzyme,mlp,cohen_kappa,0.9679
TF; Epigenetic,svc,cohen_kappa,0.9302
GPCR,svc,cohen_kappa,0.9074
NR,rf,cohen_kappa,1.0
TF,xgb,cohen_kappa,0.7442
Kinase,mlp,cohen_kappa,0.9711
Enzyme,xgb,cohen_kappa,0.9807
Enzyme,svc,cohen_kappa,1.0
Enzyme,svc,cohen_kappa,0.9851
NR,mlp,cohen_kappa,0.9574
Kinase,svc,cohen_kappa,0.9903
Enzyme,mlp,cohen_kappa,1.0
Enzyme,svc,cohen_kappa,0.9009
GPCR,xgb,cohen_kappa,0.9719
Enzyme,xgb,cohen_kappa,1.0
Enzyme,rf,cohen_kappa,1.0
Epigenetic,svc,cohen_kappa,0.9661
Kinase,rf,cohen_kappa,0.9877
GPCR,mlp,cohen_kappa,0.9879
Epigenetic,mlp,cohen_kappa,0.9579
Other,rf,cohen_kappa,1.0
Enzyme,svc,cohen_kappa,0.9012
Epigenetic,xgb,cohen_kappa,0.8
Kinase,xgb,cohen_kappa,1.0
Enzyme,svc,cohen_kappa,0.9732
Kinase,rf,cohen_kappa,0.9159999999999999
Enzyme,rf,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,0.9925
Kinase,svc,cohen_kappa,0.9154
Enzyme,xgb,cohen_kappa,0.9932
TF,svc,cohen_kappa,0.7265
Other,xgb,cohen_kappa,1.0
Kinase,mlp,cohen_kappa,0.927
GPCR,svc,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,0.9575
Epigenetic,svc,cohen_kappa,1.0
GPCR,rf,cohen_kappa,1.0
Kinase,xgb,cohen_kappa,0.9524
GPCR,svc,cohen_kappa,0.9731
Kinase,mlp,cohen_kappa,0.9749
Kinase,svc,cohen_kappa,0.9564
Enzyme,svc,cohen_kappa,1.0
GPCR,rf,cohen_kappa,1.0
GPCR,xgb,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,0.9705
Kinase,mlp,cohen_kappa,0.929
Kinase,mlp,cohen_kappa,0.9412
Enzyme,svc,cohen_kappa,0.9656
Enzyme,svc,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,1.0
Epigenetic,rf,cohen_kappa,0.8197
Kinase,mlp,cohen_kappa,0.9784
Enzyme,rf,cohen_kappa,0.9479
Enzyme,xgb,cohen_kappa,0.9221
IC,mlp,cohen_kappa,0.8942
IC,xgb,cohen_kappa,1.0
Kinase,svc,cohen_kappa,1.0
Kinase,mlp,cohen_kappa,0.9847
Kinase,svc,cohen_kappa,0.9383
Enzyme,svc,cohen_kappa,0.7783
Enzyme,rf,cohen_kappa,0.9392
Kinase,svc,cohen_kappa,0.9667
Other,xgb,cohen_kappa,1.0
GPCR,rf,cohen_kappa,0.9661
Transporter,xgb,cohen_kappa,1.0
GPCR,svc,cohen_kappa,0.9792
Enzyme,mlp,cohen_kappa,0.7697
Enzyme,rf,cohen_kappa,0.9159999999999999
Kinase,svc,cohen_kappa,0.9417
Kinase,rf,cohen_kappa,1.0
Enzyme,svc,cohen_kappa,0.9784
Transporter,xgb,cohen_kappa,1.0
NR,svc,cohen_kappa,0.9868
Enzyme,rf,cohen_kappa,1.0
Other,rf,cohen_kappa,0.9841
Enzyme,svc,cohen_kappa,0.8896
Enzyme,rf,cohen_kappa,0.8711
Enzyme,rf,cohen_kappa,0.9884
GPCR,svc,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,1.0
NR,xgb,cohen_kappa,0.9924
Kinase,mlp,cohen_kappa,0.9725
GPCR,rf,cohen_kappa,0.9893
Kinase,mlp,cohen_kappa,0.8328
Kinase,mlp,cohen_kappa,0.9698
Enzyme,rf,cohen_kappa,0.9758
Enzyme,svc,cohen_kappa,0.9621
Enzyme,rf,cohen_kappa,1.0
IC,xgb,cohen_kappa,0.9741
Epigenetic,xgb,cohen_kappa,1.0
Kinase,svc,cohen_kappa,0.963
Other,rf,cohen_kappa,0.9649
Enzyme,svc,cohen_kappa,0.9006
Enzyme,rf,cohen_kappa,1.0
IC,rf,cohen_kappa,0.8939
Enzyme,mlp,cohen_kappa,0.9237
GPCR,rf,cohen_kappa,0.9319
Enzyme,rf,cohen_kappa,0.9622
IC,mlp,cohen_kappa,0.9575
Enzyme,rf,cohen_kappa,0.9863
Enzyme,rf,cohen_kappa,0.9478
Other,xgb,cohen_kappa,1.0
GPCR,svc,cohen_kappa,0.983
Enzyme,svc,cohen_kappa,0.9772
Enzyme,rf,cohen_kappa,1.0
GPCR,rf,cohen_kappa,0.9706
Enzyme,rf,cohen_kappa,0.9453
Kinase,rf,cohen_kappa,0.9595
GPCR,xgb,cohen_kappa,0.9974
Enzyme,xgb,cohen_kappa,1.0
Other,rf,cohen_kappa,0.9594
Kinase,svc,cohen_kappa,0.9781
Enzyme,rf,cohen_kappa,1.0
Enzyme,rf,cohen_kappa,0.9446
Kinase,rf,cohen_kappa,1.0
GPCR,rf,cohen_kappa,0.9687
Epigenetic,xgb,cohen_kappa,1.0
Kinase,xgb,cohen_kappa,0.8452
GPCR,rf,cohen_kappa,0.9039
GPCR,mlp,cohen_kappa,0.977
IC,rf,cohen_kappa,0.9359999999999999
Enzyme,xgb,cohen_kappa,1.0
IC,xgb,cohen_kappa,0.9669
Enzyme,rf,cohen_kappa,0.9732
Epigenetic,xgb,cohen_kappa,0.7327
Enzyme,xgb,cohen_kappa,1.0
Other,rf,cohen_kappa,1.0
Kinase,rf,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,0.8791
Other,rf,cohen_kappa,1.0
GPCR,xgb,cohen_kappa,0.9396
Enzyme,rf,cohen_kappa,0.7848
Kinase,mlp,cohen_kappa,0.9662
Kinase,rf,cohen_kappa,1.0
IC,mlp,cohen_kappa,0.9831
Enzyme,xgb,cohen_kappa,0.9314
Other,svc,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,0.9295
Kinase,rf,cohen_kappa,0.973
Transporter,svc,cohen_kappa,1.0
GPCR,mlp,cohen_kappa,0.9471
GPCR,rf,cohen_kappa,1.0
Kinase,rf,cohen_kappa,0.9737
GPCR,rf,cohen_kappa,0.9679
Other,svc,cohen_kappa,1.0
Transporter,xgb,cohen_kappa,1.0
Kinase,xgb,cohen_kappa,0.9902
Other,rf,cohen_kappa,1.0
Transporter,xgb,cohen_kappa,1.0
Kinase,svc,cohen_kappa,0.7811
Kinase,xgb,cohen_kappa,0.9719
Other,mlp,cohen_kappa,0.9817
IC,rf,cohen_kappa,0.7504
Enzyme,mlp,cohen_kappa,0.8118
GPCR,rf,cohen_kappa,1.0
IC,xgb,cohen_kappa,1.0
Kinase,mlp,cohen_kappa,0.9268
Enzyme,rf,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,1.0
Kinase,xgb,cohen_kappa,1.0
Kinase,svc,cohen_kappa,0.9262
Kinase,rf,cohen_kappa,1.0
Enzyme,mlp,cohen_kappa,0.8753
IC,rf,cohen_kappa,1.0
IC,xgb,cohen_kappa,0.6447
Enzyme,mlp,cohen_kappa,0.9067
Enzyme,mlp,cohen_kappa,0.9398
IC,rf,cohen_kappa,1.0
GPCR,rf,cohen_kappa,1.0
GPCR,svc,cohen_kappa,1.0
Enzyme,svc,cohen_kappa,0.9645
Enzyme,mlp,cohen_kappa,0.9421
GPCR,mlp,cohen_kappa,0.9543
GPCR,rf,cohen_kappa,0.9955
Enzyme,xgb,cohen_kappa,1.0
GPCR,mlp,cohen_kappa,0.9540000000000001
Other,rf,cohen_kappa,1.0
Kinase,rf,cohen_kappa,0.9495
Enzyme,xgb,cohen_kappa,0.9358
Enzyme,svc,cohen_kappa,0.9417
Enzyme,xgb,cohen_kappa,0.9358
Kinase,mlp,cohen_kappa,0.9811
Transporter,xgb,cohen_kappa,1.0
Kinase,rf,cohen_kappa,0.9003
GPCR,rf,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,1.0
Kinase,mlp,cohen_kappa,0.9853
GPCR,xgb,cohen_kappa,0.9467
GPCR,rf,cohen_kappa,1.0
IC,xgb,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,1.0
GPCR,xgb,cohen_kappa,0.9686
IC,rf,cohen_kappa,1.0
Other,xgb,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,0.9814
Enzyme,svc,cohen_kappa,0.982
Enzyme,svc,cohen_kappa,0.9222
Other,rf,cohen_kappa,1.0
Kinase,mlp,cohen_kappa,0.9599
Epigenetic,rf,cohen_kappa,1.0
Enzyme,rf,cohen_kappa,0.9303
Enzyme,rf,cohen_kappa,0.9281
Enzyme,svc,cohen_kappa,0.9009
Enzyme,svc,cohen_kappa,1.0
IC,rf,cohen_kappa,0.9271
Enzyme,rf,cohen_kappa,0.9597
Kinase,xgb,cohen_kappa,0.8354
Enzyme,mlp,cohen_kappa,1.0
GPCR,rf,cohen_kappa,0.9947
Enzyme,xgb,cohen_kappa,0.9905
IC,rf,cohen_kappa,0.8953
GPCR,mlp,cohen_kappa,0.966
Enzyme,svc,cohen_kappa,0.975
GPCR,rf,cohen_kappa,0.9911
GPCR,xgb,cohen_kappa,0.9835
GPCR,rf,cohen_kappa,0.9801
Other,svc,cohen_kappa,0.9511
Enzyme,mlp,cohen_kappa,0.9461
Enzyme,rf,cohen_kappa,0.919
IC,xgb,cohen_kappa,0.9874
Enzyme,svc,cohen_kappa,0.9919
Enzyme,rf,cohen_kappa,0.9052
Enzyme,svc,cohen_kappa,0.9690000000000001
Enzyme,xgb,cohen_kappa,0.9859
Kinase,xgb,cohen_kappa,0.8511
Enzyme,rf,cohen_kappa,0.8036
Kinase,xgb,cohen_kappa,1.0
Kinase,rf,cohen_kappa,1.0
Kinase,rf,cohen_kappa,0.9378
IC,rf,cohen_kappa,0.9478
Kinase,xgb,cohen_kappa,0.6613
IC,rf,cohen_kappa,0.8640000000000001
GPCR,mlp,cohen_kappa,0.6452
Kinase,svc,cohen_kappa,0.9847
Other,svc,cohen_kappa,0.9753
NR,rf,cohen_kappa,0.9826
Kinase,xgb,cohen_kappa,0.9853
Kinase,svc,cohen_kappa,0.8421
NR,rf,cohen_kappa,0.9789
Enzyme,mlp,cohen_kappa,1.0
Enzyme,mlp,cohen_kappa,0.9955
Enzyme,xgb,cohen_kappa,1.0
Epigenetic,svc,cohen_kappa,0.8468
Enzyme,mlp,cohen_kappa,0.8779
Enzyme,mlp,cohen_kappa,1.0
Enzyme,rf,cohen_kappa,1.0
IC,xgb,cohen_kappa,0.9642
GPCR,mlp,cohen_kappa,0.9429
IC,svc,cohen_kappa,0.9519
GPCR,rf,cohen_kappa,0.9667
Enzyme,rf,cohen_kappa,0.9677
GPCR,rf,cohen_kappa,1.0
Enzyme,svc,cohen_kappa,1.0
GPCR,svc,cohen_kappa,0.9353
Enzyme,xgb,cohen_kappa,0.9784
Enzyme,rf,cohen_kappa,0.8797
Epigenetic,svc,cohen_kappa,0.9519
Enzyme,svc,cohen_kappa,0.7583
IC,xgb,cohen_kappa,1.0
Other,xgb,cohen_kappa,1.0
IC,xgb,cohen_kappa,0.9358
Enzyme,xgb,cohen_kappa,0.9025
Kinase,svc,cohen_kappa,0.9874
Other,svc,cohen_kappa,0.9473
Kinase,mlp,cohen_kappa,0.9497
NR,svc,cohen_kappa,0.9861
Kinase,mlp,cohen_kappa,0.9928
Other,svc,cohen_kappa,0.9013
Enzyme,xgb,cohen_kappa,1.0
Enzyme,mlp,cohen_kappa,1.0
Enzyme,mlp,cohen_kappa,0.9378
Enzyme,xgb,cohen_kappa,0.9003
GPCR,rf,cohen_kappa,1.0
Enzyme,mlp,cohen_kappa,0.9775
GPCR,xgb,cohen_kappa,1.0
Enzyme,mlp,cohen_kappa,0.9915
Enzyme,rf,cohen_kappa,0.9781
IC,rf,cohen_kappa,1.0
GPCR,rf,cohen_kappa,0.8688
Enzyme,rf,cohen_kappa,1.0
Enzyme,rf,cohen_kappa,0.8319
Kinase,rf,cohen_kappa,0.9884
GPCR,mlp,cohen_kappa,0.9909
GPCR,svc,cohen_kappa,0.9732
Enzyme,rf,cohen_kappa,1.0
GPCR,mlp,cohen_kappa,0.8379
Enzyme,mlp,cohen_kappa,0.9564
GPCR,xgb,cohen_kappa,1.0
Epigenetic,rf,cohen_kappa,0.9589
GPCR,xgb,cohen_kappa,0.9868
Kinase,xgb,cohen_kappa,1.0
IC,svc,cohen_kappa,0.9781
Enzyme,rf,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,1.0
Enzyme,rf,cohen_kappa,0.8939
Other,svc,cohen_kappa,1.0
IC,xgb,cohen_kappa,0.8791
